编号,章节,场景,操作步骤,预期结果,优先级,代码位置,测试结果,备注
6.5,掉单恢复,VC 激活时不重复处理,会员中心在前台来一笔事务,isMembershipCenterActive==YES→observer continue 由 VC 处理,P0,PNIAPObserver.m:79,,,
6.6,掉单恢复,兜底上报失败重试,兜底场景服务端失败,uploadTransaction failure→保留事务→下次启动再试,P1,PNIAPObserver.m:113,,,
6.7,掉单恢复,收据为空 首次安装,全新设备未购买过,currentReceiptBase64 返回空 触发 SKReceiptRefreshRequest,P1,MembershipCenterViewController.m:2246,,,
7.1,兑换码,免费 GIFT_CODE,兑换弹窗输入有效免费码,needPayment==NO→直接激活会员→弹「激活成功」+到期时间,P0,MembershipCenterViewController.m:1718,,,
7.2,兑换码,付费 EXCHANGE_CODE,输入折扣码→确认,needPayment==YES→应用折扣→切订阅 tab→支付时带 redeemCode,P0,MembershipCenterViewController.m:1747,,,
7.3,兑换码,付费邀请码 INVITE_CODE,输入付费邀请码,codeType==INVITE_CODE→文案变化→走 IAP,P1,MembershipCenterViewController.m:1755,,,
7.4,兑换码,免费邀请码,输入免费邀请码,直接激活 文案同 7.1,P1,MembershipCenterViewController.m:1718,,,
7.5,兑换码,码格式错误,输入 < 5 位或非 12 位,isRedeemCodeReadyToSubmit 拦截→「兑换码格式不正确」,P1,MembershipCenterViewController.m:1613,,,
7.6,兑换码,码为空,不输入直接确认,提示「请输入兑换码」,P1,MembershipCenterViewController.m:1696,,,
7.7,兑换码,码失效/已使用,输入无效码,failure 回调→helpLabel 显示错误+「点击寻求帮助」,P1,MembershipCenterViewController.m:1763,,,
7.8,兑换码,付费码误入礼包 tab,礼包输入框输付费码,onRedeemGiftCode 识别 needPayment→切订阅模式并应用优惠,P1,MembershipCenterViewController.m:1896,,,
7.9,兑换码,服务端无 appleProductId,异常配置,提示「兑换码配置异常 联系客服」,P2,MembershipCenterViewController.m:1743,,,
7.10,兑换码,礼包码长度限制,输入超过 5 位,onGiftCodeChanged 截断到 5 位,P2,MembershipCenterViewController.m:1867,,,
8.1,UI/UX,协议未勾选点支付,不勾协议点支付,弹「请先勾选《会员服务协议》」,P1,MembershipCenterViewController.m:1831,,,
8.2,UI/UX,支付按钮可用性,未勾协议时看按钮,按钮半透明但可点 用于弹提示,P2,MembershipCenterViewController.m:1814,,,
8.3,UI/UX,支付中防连点,购买 HUD 中再次点支付,payInFlight 拦截,P1,MembershipCenterViewController.m:1822,,,
8.4,UI/UX,沙箱成功提示,沙箱购买完成,「测试环境购买 不会真实扣款」对审核员友好,P0,MembershipCenterViewController.m:2069,,,
8.5,UI/UX,价格与时长展示,看订阅按钮附近,显示时长+价格+周期+「自动续期可取消」,P0,-,,,需确认 UI
8.6,UI/UX,加载中 HUD,所有网络请求,均有 loading MBProgressHUD,P1,-,,,
8.7,UI/UX,错误反馈,所有失败路径,有明确文案 不可静默,P1,-,,,
8.8,UI/UX,切换方案不抖动,来回切方案,reloadPlanCardsPreservingIndex 保持 index,P2,MembershipCenterViewController.m:1477,,,
9.1,多语言,简体中文,设备语言中文,所有文案为简体中文,P1,V1 范围外：本版本不切语言，文案默认简体中文,,,
9.2,多语言,繁体中文,设备语言繁体,zh-Hans.lproj/zh-Hant.lproj 文案跟随,P1,V1 范围外：本版本不切语言，文案默认简体中文,,,
9.3,多语言,英文,设备语言英文,en.lproj 文案跟随,P1,V1 范围外：本版本不切语言，文案默认简体中文,,,
9.4,多语言,美国 App Store 账号,沙箱账号地区=美国,价格显示 $ 而非 ¥（依赖 SKProduct.price）,P1,V1 范围外：本版本不切语言，文案默认简体中文,,,
9.5,多语言,货币格式,不同地区购买,数字格式货币符号符合 locale,P1,V1 范围外：本版本不切语言，文案默认简体中文,,,
10.1,崩溃边界,网络全断进入会员中心,飞行模式进页面,不崩 展示本地默认数据 可重试,P0,-,,,
10.2,崩溃边界,启动时队列有遗留事务,上次未 finish 事务+冷启动,PNIAPObserver.start 安全注册 无重复注册,P0,PNIAPObserver.m:34,,,
10.3,崩溃边界,快速进退会员中心,连续 push/pop,dealloc 正确 removeTransactionObserver 无泄漏,P0,MembershipCenterViewController.m:185,,,
10.4,崩溃边界,购买中 App 进后台,支付中按 Home,回前台后继续完成事务处理,P1,-,,,
10.5,崩溃边界,购买中收到电话,支付中来电,挂断后状态恢复,P1,-,,,
10.6,崩溃边界,服务端返回格式异常,后端返回非 JSON/字段缺失,yy_modelWithJSON 不崩 有降级,P1,-,,,
10.7,崩溃边界,receipt base64 为空,首次安装 appStoreReceiptURL=nil,currentReceiptBase64 返回空 不崩 触发刷新,P0,MembershipCenterViewController.m:2246,,,
10.8,崩溃边界,内存警告,模拟内存警告,不崩 支付中数据不丢失,P2,-,,,
11.1,提交 Checklist,App Store Connect 配置,提交前检查,4 个 IAP 产品已创建+本版本已勾选+付费协议已签+订阅商品本地化已配置,P0,-,,,
11.2,提交 Checklist,合规,提交前检查,订阅条款链接+隐私政策链接+自动续期说明+SKProduct 价格+无外部支付,P0,-,,,
11.3,提交 Checklist,沙箱测试员,提交前检查,至少 2 个 SandboxTester（中国+美国）+已走完完整购买流程+后台交易可见,P0,-,,,
11.4,提交 Checklist,功能验证,提交前检查,场景 3.1/4.1-4.4/5.1-5.2/6.1-6.2/7.1-7.9/9.1-9.3 全部通过,P0,-,,,
11.5,提交 Checklist,代码清理,提交前检查,删除/脱敏敏感日志（receipt base64、token、transactionId）+ 移除调试代码,P0,-,,,
11.6,提交 Checklist,TestFlight 验证,上传 TestFlight,用 TestFlight+SandboxTester 走完整购买+一次掉单恢复,P0,-,,,
